what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1373695763390
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1373695763406
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1373695763421
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1373695763437
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1373695763437
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1373695763437
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1373695763453
os,sysinfo,,,"win32",1373695763453
arch,sysinfo,,,"x86",1373695763453
ws,sysinfo,,,"win32",1373695763453
locale,sysinfo,,,"zh_CN",1373695763453
processors,sysinfo,,,"2",1373695763453
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1373695763453
java.runtime.version,sysinfo,,,"1.7.0-b147",1373695763453
java.specification.name,sysinfo,,,"Java Platform API Specification",1373695763453
java.specification.vendor,sysinfo,,,"Oracle Corporation",1373695763453
java.specification.version,sysinfo,,,"1.7",1373695763453
java.vendor,sysinfo,,,"Oracle Corporation",1373695763453
java.version,sysinfo,,,"1.7.0",1373695763453
java.vm.info,sysinfo,,,"mixed mode",1373695763453
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1373695763453
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1373695763453
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1373695763453
java.vm.specification.version,sysinfo,,,"1.7",1373695763453
java.vm.vendor,sysinfo,,,"Oracle Corporation",1373695763453
java.vm.version,sysinfo,,,"21.0-b17",1373695763453
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1373695764703
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1373695764765
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1373695764875
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1373695765015
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1373695765468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373695776078
