what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716218103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716218118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716218181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716266587
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1373716271118
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.stop",1373716272822
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1373716273650
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1373716275228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716276650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716276665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716276743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716301775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716303822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716303822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716303915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716318478
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373716321962
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1373716322697
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1373716322743
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1373716323087
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1373716323087
